,State Id,State Name,Violent Crime Rate,Property Crime Rate,One Bedroom Rent,Two Bedroom Rent,Three Bedroom Rent,Four Bedroom Rent
0,AL,Alabama,"[27.31, 27.79, 31.84, 29.41, 35.37, 33.53, 36.53, 34.73, 32.93, 30.95, 28.07, 31.38]","[129.17, 123.99, 131.24, 137.57, 140.47, 143.5, 147.2, 141.71, 137.78, 144.15, 130.49, 132.21]",787.6268656716418,968.8507462686567,1251.0,1436.2686567164178
1,AK,Alaska,"[51.78, 50.97, 54.36, 54.09, 67.65, 71.44, 65.21, 80.79, 66.29, 57.07, 53.55, 56.53]","[128.65, 110.89, 119.97, 131.9, 144.1, 158.07, 187.89, 174.74, 171.21, 159.56, 129.73, 129.33]",1125.3333333333333,1421.7,1868.7333333333333,2159.1666666666665
2,AZ,Arizona,"[33.4, 33.59, 38.2, 35.2, 40.47, 36.39, 36.83, 37.8, 36.34, 37.02, 32.93, 33.38]","[155.95, 153.68, 159.39, 153.22, 153.48, 142.46, 145.78, 148.19, 147.26, 153.53, 147.34, 146.72]",1063.8666666666666,1324.2,1788.8666666666666,2032.3333333333333
3,AR,Arkansas,"[42.88, 44.36, 48.9, 51.29, 57.01, 53.41, 51.65, 52.98, 51.66, 49.48, 43, 41.74]","[156.69, 153.99, 158.54, 154.12, 180.91, 168.75, 179.53, 172.71, 163.71, 171.92, 152.2, 160.43]",696.3866666666667,875.4266666666666,1153.0533333333333,1317.04
4,CA,California,"[39.35, 36.77, 39.75, 39.25, 41.44, 42.03, 43.33, 41.94, 41.88, 40.39, 35.91, 36.24]","[189.73, 173.69, 181.05, 172.82, 163.03, 153.45, 162.23, 163.94, 152.06, 159.41, 154.75, 165.59]",1488.1379310344828,1864.1206896551723,2516.4827586206898,2915.155172413793
5,CO,Colorado,"[40.18, 36.54, 37.74, 35.12, 41.59, 45.18, 44.62, 47.56, 42.31, 41.57, 35.74, 37.11]","[227.92, 208.08, 205.25, 208.03, 218.39, 218.06, 241.92, 239.01, 233.69, 240.82, 204.23, 219.71]",1163.625,1460.015625,1896.953125,2251.71875
6,CT,Connecticut,"[12.52, 11.02, 11.92, 10.48, 13.71, 10.83, 13.77, 12.73, 11.56, 10.61, 10.04, 9.01]","[113.63, 104.24, 106.01, 108.43, 117.36, 122.07, 137.87, 121.74, 126.64, 117.22, 109.69, 110.42]",1358.2307692307693,1695.1952662721894,2103.644970414201,2510.201183431953
7,DE,Delaware,"[26.24, 24.53, 27.95, 33.46, 36.12, 34.79, 32.23, 34.22, 31.6, 30.81, 27.66, 26.62]","[136.89, 123.3, 129.86, 142.6, 155.15, 154, 173.02, 163.51, 153.41, 158.32, 140.79, 139.36]",1185.3333333333333,1467.6666666666667,1894.6666666666667,2203.6666666666665
8,FL,Florida,"[18.11, 16.3, 18.86, 18.24, 20.12, 17.45, 18.24, 17.4, 17.57, 17.03, 15.63, 72.94]","[96.74, 85.93, 88.47, 88.78, 94.18, 88.08, 89.5, 84.98, 83.18, 81.99, 81.82, 341.4]",1130.6268656716418,1358.686567164179,1773.2537313432836,2085.805970149254
9,GA,Georgia,"[26.9, 25.76, 26.67, 29.78, 30.61, 27.97, 28.1, 29.13, 26.13, 25.22, 24.04, 22.3]","[149.05, 143.82, 134.93, 140.2, 150.35, 146.94, 148.01, 143.68, 137, 136.35, 129.95, 128.88]",932.8427672955975,1113.308176100629,1426.7295597484276,1665.9496855345913
